  PID TTY      STAT   TIME COMMAND
 2429 pts/0    Ss     0:01 /data/data/com.termux/files/usr/bin/bash /data/data/com.termux/files/usr/bin/bash -l
 2500 pts/0    S      0:00 /data/data/com.termux/files/usr/bin/bash /data/data/com.termux/files/usr/bin/bash -l
 2505 pts/0    S      0:01 bash /data/data/com.termux/files/usr/bin/bash /data/data/com.termux/files/home/kf-sentinel.sh
 2513 ?        S      0:02 /data/data/com.termux/files/usr/bin/runsvdir /data/data/com.termux/files/usr/bin/runsvdir /data/data/com.termux/files/usr/var/service
 2519 ?        S      0:00 runsv /data/data/com.termux/files/usr/bin/runsv tx11-xfce4
 2520 ?        S      0:00 runsv /data/data/com.termux/files/usr/bin/runsv tx11
 2521 ?        S      0:00 runsv /data/data/com.termux/files/usr/bin/runsv sshd
 2522 ?        S      0:00 runsv /data/data/com.termux/files/usr/bin/runsv ssh-agent
 2523 ?        S      0:00 runsv /data/data/com.termux/files/usr/bin/runsv crond
 2525 ?        S      0:00 runsv /data/data/com.termux/files/usr/bin/runsv dockerd
 2527 ?        S      0:00 runsv /data/data/com.termux/files/usr/bin/runsv cupsd
 2528 ?        S      0:00 runsv /data/data/com.termux/files/usr/bin/runsv postgres
 2529 ?        S      0:00 runsv /data/data/com.termux/files/usr/bin/runsv tor
 2532 ?        S      0:00 svlogd /data/data/com.termux/files/usr/bin/svlogd -tt /data/data/com.termux/files/usr/var/log/sv/sshd
 2536 ?        S      0:00 svlogd /data/data/com.termux/files/usr/bin/svlogd -tt /data/data/com.termux/files/usr/var/log/sv/crond
 2537 ?        S      0:00 svlogd /data/data/com.termux/files/usr/bin/svlogd -tt /data/data/com.termux/files/usr/var/log/sv/tx11
 2539 ?        S      0:00 sshd /data/data/com.termux/files/usr/bin/sshd -D -e
 2541 ?        S      0:00 svlogd /data/data/com.termux/files/usr/bin/svlogd -tt /data/data/com.termux/files/usr/var/log/sv/tx11-xfce4
 2542 ?        S      0:00 svlogd /data/data/com.termux/files/usr/bin/svlogd -tt /data/data/com.termux/files/usr/var/log/sv/ssh-agent
 2543 ?        S      0:02 crond /data/data/com.termux/files/usr/bin/crond -n -s
 2547 ?        S      0:00 svlogd /data/data/com.termux/files/usr/bin/svlogd -tt /data/data/com.termux/files/usr/var/log/sv/postgres
 2548 ?        S      0:00 svlogd /data/data/com.termux/files/usr/bin/svlogd -tt /data/data/com.termux/files/usr/var/log/sv/cupsd
 2551 ?        S      0:00 svlogd /data/data/com.termux/files/usr/bin/svlogd -tt /data/data/com.termux/files/usr/var/log/sv/tor
 2564 ?        S      0:00 svlogd /data/data/com.termux/files/usr/bin/svlogd -tt /data/data/com.termux/files/usr/var/log/sv/dockerd
 3379 pts/1    Ss     0:00 /data/data/com.termux/files/usr/bin/bash /data/data/com.termux/files/usr/bin/bash -l
 3399 ?        S      2:00 /data/data/com.termux/files/usr/bin/runsvdir /data/data/com.termux/files/usr/bin/runsvdir /data/data/com.termux/files/usr/var/service
 5995 pts/2    S      2:19 /data/data/com.termux/files/usr/bin/bash /data/data/com.termux/files/usr/bin/bash /data/data/com.termux/files/home/kesselflow-witchhunter/bin/jules-core.sh
 7120 pts/2    S+     2:18 /data/data/com.termux/files/usr/bin/bash /data/data/com.termux/files/usr/bin/bash /data/data/com.termux/files/home/kesselflow-witchhunter/bin/jules-core.sh
 8554 pts/1    S+     0:00 ul /data/data/com.termux/files/usr/bin/ul
 9243 ?        S      1:46 /data/data/com.termux/files/usr/bin/runsvdir /data/data/com.termux/files/usr/bin/runsvdir /data/data/com.termux/files/usr/var/service
 9508 pts/2    Ss     0:00 /data/data/com.termux/files/usr/bin/bash /data/data/com.termux/files/usr/bin/bash -l
 9531 ?        S      1:59 /data/data/com.termux/files/usr/bin/runsvdir /data/data/com.termux/files/usr/bin/runsvdir /data/data/com.termux/files/usr/var/service
10888 pts/4    Ss+    0:00 /data/data/com.termux/files/usr/bin/bash /data/data/com.termux/files/usr/bin/bash -l
10908 ?        S      1:18 /data/data/com.termux/files/usr/bin/runsvdir /data/data/com.termux/files/usr/bin/runsvdir /data/data/com.termux/files/usr/var/service
12337 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
12338 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
12427 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
